Name,Count,Type,Rarity,Percent_of_Decks_with_at_least_one_copy
Rimland Nomads,0,Fire,Ordinary,0
Sacred Scarabs,2,Fire,Ordinary,12
Sand Worm,4,Fire,Ordinary,25
Scavenging Fiend,0,Fire,Exceptional,0
Seasoned Sellsword,0,Fire,Elite,0
Sirocco Scorpions,0,Fire,Ordinary,0
Swiven Scout,0,Fire,Exceptional,0
Tvinnax Berserker,0,Fire,Exceptional,0
Vile Imp,2,Fire,Ordinary,12
Wayfaring Pilgrim,0,Fire,Exceptional,0
Wills-o-the-Wisp,0,Fire,Exceptional,0
Backstab,0,Fire,Exceptional,0
Blaze,1,Fire,Exceptional,12
Boil,0,Fire,Ordinary,0
Cone of Flame,0,Fire,Exceptional,0
Critical Strike,0,Fire,Ordinary,0
Disintegrate,0,Fire,Elite,0
Fireball,0,Fire,Exceptional,0
Firebolts,2,Fire,Ordinary,25
Flame Wave,0,Fire,Elite,0
Heat Ray,1,Fire,Ordinary,12
Immolation,0,Fire,Unique,0
Incinerate,0,Fire,Ordinary,0
Infiltrate,3,Fire,Elite,25
Leap Attack,0,Fire,Exceptional,0
Mad Dash,0,Fire,Ordinary,0
Major Explosion,2,Fire,Elite,12
Meteor Shower,0,Fire,Elite,0
Minor Explosion,0,Fire,Ordinary,0
Pact with the Devil,0,Fire,Unique,0
Poison Nova,0,Fire,Exceptional,0
Scorched Earth,2,Fire,Elite,25
Spin Attack,0,Fire,Ordinary,0
Warp Spasm,0,Fire,Unique,0
Drought,0,Fire,Exceptional,0
Jihad,0,Fire,Unique,0
Sandstorm,0,Fire,Ordinary,0
Wall of Fire,0,Fire,Ordinary,0
Wildfire,0,Fire,Exceptional,0
Accursed Albatross,0,Water,Exceptional,0
Adept Illusionist,0,Water,Elite,0
Anui Undine,0,Water,Exceptional,0
Bridge Troll,0,Water,Exceptional,0
Brobdingnag Bullfrog,0,Water,Exceptional,0
Captain Baldassare,0,Water,Unique,0
Coral-Reef Kelpie,0,Water,Ordinary,0
Court Jester,0,Water,Elite,0
Deep-Sea Mermaids,0,Water,Ordinary,0
Diluvian Kraken,0,Water,Elite,0
Felbog Frog Men,0,Water,Exceptional,0
Fenvale Muse,0,Water,Ordinary,0
Fey Changeling,2,Water,Exceptional,12
Ghost Ship,0,Water,Elite,0
Giant Shark,0,Water,Exceptional,0
Great Old One,0,Water,Unique,0
Guile Sirens,0,Water,Exceptional,0
Lord of Unland,0,Water,Unique,0
Megamoeba,0,Water,Elite,0
Mother Nature,0,Water,Unique,0
Muck Lampreys,0,Water,Ordinary,0
Old Salt Anchorman,0,Water,Ordinary,0
Ormund Harpooneers,0,Water,Exceptional,0
Pirate Ship,3,Water,Ordinary,12
Polar Bears,0,Water,Ordinary,0
Polar Explorers,0,Water,Elite,0
Porcupine Pufferfish,0,Water,Ordinary,0
Ruler of Thul,1,Water,Unique,12
Sea Raider,0,Water,Exceptional,0
Sea Serpent,0,Water,Ordinary,0
Sedge Crabs,3,Water,Ordinary,12
Seirawan Hydra,0,Water,Elite,0
Selfsame Simulacrum,0,Water,Elite,0
Sneak Thief,0,Water,Elite,0
Swamp Buffalo,0,Water,Ordinary,0
Swan Maidens,0,Water,Ordinary,0
Tide Naiads,0,Water,Exceptional,0
Tringh Constrictor,0,Water,Exceptional,0
Tufted Turtles,0,Water,Ordinary,0
Unland Angler,0,Water,Elite,0
Unland Eel,0,Water,Exceptional,0
Yokai Kappas,0,Water,Elite,0
Dodge Roll,0,Water,Exceptional,0
Drown,1,Water,Ordinary,12
Extinguish,0,Water,Ordinary,0
Fire Harpoons!,0,Water,Ordinary,0
Font of Life,0,Water,Exceptional,0
Frost Nova,0,Water,Exceptional,0
Geyser,0,Water,Exceptional,0
Ice Lance,0,Water,Ordinary,0
Marine Voyage,0,Water,Exceptional,0
Plague of Frogs,0,Water,Unique,0
Pollimorph,2,Water,Elite,12
Replication,0,Water,Elite,0
Riptide,0,Water,Ordinary,0
Shrink,3,Water,Exceptional,12
Sleep,0,Water,Ordinary,0
Stormy Seas,0,Water,Exceptional,0
Twist of Fate,0,Water,Unique,0
Upwelling,0,Water,Exceptional,0
Wrath of the Sea,0,Water,Elite,0
Abundance,0,Water,Elite,0
Atlantean Fate,2,Water,Unique,25
Blizzard,0,Water,Ordinary,0
Flood,0,Water,Exceptional,0
Mariners Curse,0,Water,Exceptional,0
Silence,2,Water,Elite,12
Wall of Ice,0,Water,Ordinary,0
All-terrain Vestments,0,Artifact,Elite,0
Amethyst Core,2,Artifact,Unique,25
Angels Egg,0,Artifact,Elite,0
Aquamarine Core,1,Artifact,Unique,12
Battering Ram,0,Artifact,Exceptional,0
Belfry,0,Artifact,Elite,0
Black Obelisk,0,Artifact,Elite,0
Blasted Oak,0,Artifact,Unique,0
Buried Treasure,0,Artifact,Exceptional,0
Chains of Prometheus,0,Artifact,Elite,0
Crave Golem,0,Artifact,Exceptional,0
Crown of the Victor,1,Artifact,Unique,12
Devils Egg,0,Artifact,Elite,0
Doomsday Device,0,Artifact,Unique,0
Drums of Doom,0,Artifact,Elite,0
Erik's Curiosa,0,Artifact,Unique,0
Flaming Sword,1,Artifact,Exceptional,12
Gilded Aegis,0,Artifact,Unique,0
Iron Shackles,0,Artifact,Exceptional,0
Kythera Mechanism,1,Artifact,Unique,12
Land Deed,2,Artifact,Elite,12
Lucky Charm,0,Artifact,Exceptional,0
Maddening Bells,2,Artifact,Elite,12
Magellan Globe,0,Artifact,Elite,0
Magnetic Muzzle,1,Artifact,Elite,12
Mask of Mayhem,0,Artifact,Elite,0
Mix Aer,0,Artifact,Elite,0
Mix Aqua,0,Artifact,Elite,0
Mix Ignis,0,Artifact,Elite,0
Mix Terra,2,Artifact,Elite,12
Onyx Core,2,Artifact,Unique,25
Orb of Baal Berith,0,Artifact,Unique,0
Payload Trebuchet,0,Artifact,Elite,0
Pendulum of Peril,0,Artifact,Unique,0
Philosophers Stone,0,Artifact,Unique,0
Pnakotic Manuscripts,0,Artifact,Unique,0
Poisonous Dagger,0,Artifact,Exceptional,0
Purge Juggernaut,0,Artifact,Elite,0
Rolling Boulder,3,Artifact,Exceptional,12
Ruby Core,1,Artifact,Unique,12
Scarecrow,1,Artifact,Ordinary,12
Screaming Skull,1,Artifact,Elite,12
Seven-League Boots,0,Artifact,Unique,0
Siege Ballista,0,Artifact,Exceptional,0
Spear of Destiny,0,Artifact,Unique,0
Sunken Treasure,0,Artifact,Exceptional,0
The Immortal Throne,1,Artifact,Unique,12
Torshammar Trinket,3,Artifact,Exceptional,12
Truesight Crossbow,0,Artifact,Exceptional,0
Undertaker Engine,0,Artifact,Elite,0
Wicker Manikin,0,Artifact,Ordinary,0
Wings of Invention,0,Artifact,Exceptional,0
Cloud City,2,Site,Unique,25
Dark Tower,6,Site,Ordinary,50
Gothic Tower,6,Site,Ordinary,50
Lone Tower,6,Site,Ordinary,50
Mountain Pass,0,Site,Exceptional,0
Observatory,5,Site,Elite,38
Updraft Ridge,0,Site,Exceptional,0
Watchtower,1,Site,Exceptional,12
Bedrock,18,Site,Exceptional,75
Gnome Hollows,4,Site,Exceptional,25
Holy Ground,3,Site,Exceptional,12
Humble Village,5,Site,Ordinary,25
Kingdom of Agartha,0,Site,Unique,0
Pillar of Zeiros,7,Site,Unique,88
Quagmire,4,Site,Exceptional,38
Rift Valley,8,Site,Elite,50
Rustic Village,4,Site,Ordinary,25
Secret Tunnel,0,Site,Exceptional,0
Simple Village,3,Site,Ordinary,12
Vantage Hills,0,Site,Exceptional,0
Arid Desert,1,Site,Ordinary,12
Dwarven Forge,0,Site,Elite,0
Mirage,2,Site,Elite,12
Red Desert,1,Site,Ordinary,12
Remote Desert,1,Site,Ordinary,12
River of Flame,2,Site,Unique,25
Shifting Sands,0,Site,Exceptional,0
Smokestacks of Gnaak,3,Site,Unique,38
Vesuvius,0,Site,Unique,0
Autumn River,0,Site,Ordinary,0
Floodplain,5,Site,Exceptional,25
Iceburg,0,Site,Exceptional,0
Island Leviathan,0,Site,Elite,0
Maelstrom,0,Site,Unique,0
Spring River,1,Site,Ordinary,12
Summer River,1,Site,Ordinary,12
Tadpole Pool,1,Site,Unique,12
Undertow,0,Site,Exceptional,0
Aqueduct,3,Site,Exceptional,12
Lighthouse,6,Site,Exceptional,25
Oasis,1,Site,Exceptional,12
Pristine Paradise,0,Site,Unique,0
Ruins,3,Site,Exceptional,12
Steppe,3,Site,Exceptional,12
The Colour Out of Space,3,Site,Unique,38
Windmill,8,Site,Exceptional,38
Astral Alcazar,0,Site,Elite,0
Battlefield,0,Site,Elite,0
Boneyard,0,Site,Unique,0
Bottomless Pit,2,Site,Elite,12
Cornerstone,0,Site,Exceptional,0
Crossroads,4,Site,Elite,25
Dome of Osiros,0,Site,Unique,0
Donnybrook Inn,0,Site,Unique,0
Edge of the World,0,Site,Elite,0
Free City,5,Site,Exceptional,25
Great Wall,0,Site,Unique,0
Imperial Road,2,Site,Elite,12
Mirror Realm,7,Site,Unique,88
Mudflow,0,Site,Exceptional,0
Planar Gate,0,Site,Elite,0
Primodial Spring,0,Site,Elite,0
Roots of Yggdrasil,3,Site,Unique,38
Sinkhole,10,Site,Elite,62
Standing Stones,0,Site,Elite,0
The Geistwood,0,Site,Unique,0
Vaults of Zul,0,Site,Unique,0
Avatar of Air,1,Avatar,Ordinary,12
Avatar of Earth,1,Avatar,Ordinary,12
Avatar of Fire,0,Avatar,Ordinary,0
Avatar of Water,0,Avatar,Ordinary,0
Battlemage,1,Avatar,Elite,12
Deathspeaker,0,Avatar,Elite,0
Elementalist,0,Avatar,Elite,0
Enchantress,0,Avatar,Elite,0
Pathfinder,0,Avatar,Unique,0
Seer,2,Avatar,Elite,25
Sorcerer,2,Avatar,Ordinary,25
Waveshaper,0,Avatar,Ordinary,0
Sparkmage,0,Avatar,Ordinary,0
Geomancer,1,Avatar,Ordinary,12
Flamecaller,0,Avatar,Ordinary,0
