Name,Count,Type,Rarity,Percent_of_Decks_with_at_least_one_copy
Mix Terra,11,Artifact,Elite,10
Onyx Core,28,Artifact,Unique,38
Orb of Baal Berith,0,Artifact,Unique,0
Payload Trebuchet,0,Artifact,Elite,0
Pendulum of Peril,0,Artifact,Unique,0
Philosophers Stone,0,Artifact,Unique,0
Pnakotic Manuscripts,0,Artifact,Unique,0
Poisonous Dagger,0,Artifact,Exceptional,0
Purge Juggernaut,2,Artifact,Elite,1
Rolling Boulder,11,Artifact,Exceptional,8
Ruby Core,19,Artifact,Unique,26
Scarecrow,0,Artifact,Ordinary,0
Screaming Skull,10,Artifact,Elite,8
Seven-League Boots,3,Artifact,Unique,4
Siege Ballista,0,Artifact,Exceptional,0
Spear of Destiny,0,Artifact,Unique,0
Sunken Treasure,0,Artifact,Exceptional,0
The Immortal Throne,3,Artifact,Unique,4
Torshammar Trinket,25,Artifact,Exceptional,22
Truesight Crossbow,0,Artifact,Exceptional,0
Undertaker Engine,1,Artifact,Elite,1
Wicker Manikin,0,Artifact,Ordinary,0
Wings of Invention,0,Artifact,Exceptional,0
Cloud City,19,Site,Unique,26
Dark Tower,73,Site,Ordinary,71
Gothic Tower,70,Site,Ordinary,67
Lone Tower,70,Site,Ordinary,68
Mountain Pass,6,Site,Exceptional,5
Observatory,55,Site,Elite,48
Updraft Ridge,7,Site,Exceptional,5
Watchtower,25,Site,Exceptional,23
Bedrock,84,Site,Exceptional,41
Gnome Hollows,19,Site,Exceptional,12
Holy Ground,24,Site,Exceptional,18
Humble Village,27,Site,Ordinary,19
Kingdom of Agartha,3,Site,Unique,4
Pillar of Zeiros,42,Site,Unique,58
Quagmire,23,Site,Exceptional,19
Rift Valley,52,Site,Elite,38
Rustic Village,23,Site,Ordinary,16
Secret Tunnel,0,Site,Exceptional,0
Simple Village,33,Site,Ordinary,18
Vantage Hills,0,Site,Exceptional,0
Arid Desert,39,Site,Ordinary,26
Dwarven Forge,1,Site,Elite,1
Mirage,2,Site,Elite,3
Red Desert,32,Site,Ordinary,25
Remote Desert,36,Site,Ordinary,22
River of Flame,29,Site,Unique,40
Shifting Sands,7,Site,Exceptional,7
Smokestacks of Gnaak,26,Site,Unique,36
Vesuvius,6,Site,Unique,8
Autumn River,6,Site,Ordinary,4
Floodplain,62,Site,Exceptional,30
Iceburg,0,Site,Exceptional,0
Island Leviathan,0,Site,Elite,0
Maelstrom,0,Site,Unique,0
Spring River,1,Site,Ordinary,1
Summer River,2,Site,Ordinary,3
Tadpole Pool,3,Site,Unique,4
Undertow,5,Site,Exceptional,3
Aqueduct,18,Site,Exceptional,8
Lighthouse,67,Site,Exceptional,36
Oasis,32,Site,Exceptional,21
Pristine Paradise,2,Site,Unique,3
Ruins,63,Site,Exceptional,33
Steppe,52,Site,Exceptional,26
The Colour Out of Space,30,Site,Unique,41
Windmill,67,Site,Exceptional,34
Astral Alcazar,0,Site,Elite,0
Battlefield,0,Site,Elite,0
Boneyard,4,Site,Unique,5
Bottomless Pit,4,Site,Elite,3
Cornerstone,4,Site,Exceptional,3
Crossroads,16,Site,Elite,14
Dome of Osiros,1,Site,Unique,1
Donnybrook Inn,1,Site,Unique,1
Edge of the World,0,Site,Elite,0
Free City,32,Site,Exceptional,19
Great Wall,0,Site,Unique,0
Imperial Road,31,Site,Elite,25
Mirror Realm,43,Site,Unique,59
Mudflow,0,Site,Exceptional,0
Planar Gate,2,Site,Elite,3
Primodial Spring,0,Site,Elite,0
Roots of Yggdrasil,9,Site,Unique,12
Sinkhole,36,Site,Elite,29
Standing Stones,7,Site,Elite,7
The Geistwood,6,Site,Unique,8
Vaults of Zul,1,Site,Unique,1
Avatar of Air,3,Avatar,Ordinary,4
Avatar of Earth,8,Avatar,Ordinary,11
Avatar of Fire,0,Avatar,Ordinary,0
Avatar of Water,0,Avatar,Ordinary,0
Battlemage,8,Avatar,Elite,11
Deathspeaker,7,Avatar,Elite,10
Elementalist,1,Avatar,Elite,1
Enchantress,9,Avatar,Elite,12
Pathfinder,3,Avatar,Unique,4
Seer,3,Avatar,Elite,4
Sorcerer,24,Avatar,Ordinary,33
Waveshaper,0,Avatar,Ordinary,0
Sparkmage,0,Avatar,Ordinary,0
Geomancer,6,Avatar,Ordinary,8
Flamecaller,1,Avatar,Ordinary,1
