Name,Type,Rarity,Total_count_of_card,Decks_with_card,Percentage of decks with at least one copy
Philosophers Stone,Artifact,Unique,6,6,75
Pnakotic Manuscripts,Artifact,Unique,0,0,0
Poisonous Dagger,Artifact,Exceptional,0,0,0
Purge Juggernaut,Artifact,Elite,0,0,0
Rolling Boulder,Artifact,Exceptional,2,1,12
Ruby Core,Artifact,Unique,4,4,50
Scarecrow,Artifact,Ordinary,0,0,0
Screaming Skull,Artifact,Elite,0,0,0
Seven-League Boots,Artifact,Unique,0,0,0
Siege Ballista,Artifact,Exceptional,0,0,0
Spear of Destiny,Artifact,Unique,0,0,0
Sunken Treasure,Artifact,Exceptional,0,0,0
The Immortal Throne,Artifact,Unique,0,0,0
Torshammar Trinket,Artifact,Exceptional,0,0,0
Truesight Crossbow,Artifact,Exceptional,0,0,0
Undertaker Engine,Artifact,Elite,0,0,0
Wicker Manikin,Artifact,Ordinary,0,0,0
Wings of Invention,Artifact,Exceptional,0,0,0
Cloud City,Site,Unique,1,1,12
Dark Tower,Site,Ordinary,7,6,75
Gothic Tower,Site,Ordinary,7,6,75
Lone Tower,Site,Ordinary,7,6,75
Mountain Pass,Site,Exceptional,4,2,25
Observatory,Site,Elite,7,4,50
Updraft Ridge,Site,Exceptional,2,1,12
Watchtower,Site,Exceptional,3,2,25
Bedrock,Site,Exceptional,6,3,38
Gnome Hollows,Site,Exceptional,4,2,25
Holy Ground,Site,Exceptional,1,1,12
Humble Village,Site,Ordinary,1,1,12
Kingdom of Agartha,Site,Unique,1,1,12
Pillar of Zeiros,Site,Unique,4,4,50
Quagmire,Site,Exceptional,1,1,12
Rift Valley,Site,Elite,3,2,25
Rustic Village,Site,Ordinary,1,1,12
Secret Tunnel,Site,Exceptional,1,1,12
Simple Village,Site,Ordinary,1,1,12
Vantage Hills,Site,Exceptional,1,1,12
Arid Desert,Site,Ordinary,4,3,38
Dwarven Forge,Site,Elite,0,0,0
Mirage,Site,Elite,3,2,25
Red Desert,Site,Ordinary,10,6,75
Remote Desert,Site,Ordinary,5,4,50
River of Flame,Site,Unique,5,5,62
Shifting Sands,Site,Exceptional,2,2,25
Smokestacks of Gnaak,Site,Unique,1,1,12
Vesuvius,Site,Unique,4,4,50
Autumn River,Site,Ordinary,1,1,12
Floodplain,Site,Exceptional,4,2,25
Iceburg,Site,Exceptional,0,0,0
Island Leviathan,Site,Elite,0,0,0
Maelstrom,Site,Unique,0,0,0
Spring River,Site,Ordinary,0,0,0
Summer River,Site,Ordinary,0,0,0
Tadpole Pool,Site,Unique,0,0,0
Undertow,Site,Exceptional,0,0,0
Aqueduct,Site,Exceptional,0,0,0
Lighthouse,Site,Exceptional,3,2,25
Oasis,Site,Exceptional,3,3,38
Pristine Paradise,Site,Unique,0,0,0
Ruins,Site,Exceptional,13,6,75
Steppe,Site,Exceptional,10,5,62
The Colour Out of Space,Site,Unique,1,1,12
Windmill,Site,Exceptional,8,3,38
Astral Alcazar,Site,Elite,0,0,0
Battlefield,Site,Elite,0,0,0
Boneyard,Site,Unique,2,2,25
Bottomless Pit,Site,Elite,2,1,12
Cornerstone,Site,Exceptional,0,0,0
Crossroads,Site,Elite,6,4,50
Dome of Osiros,Site,Unique,0,0,0
Donnybrook Inn,Site,Unique,0,0,0
Edge of the World,Site,Elite,0,0,0
Free City,Site,Exceptional,3,2,25
Great Wall,Site,Unique,1,1,12
Imperial Road,Site,Elite,4,2,25
Mirror Realm,Site,Unique,2,2,25
Mudflow,Site,Exceptional,0,0,0
Planar Gate,Site,Elite,0,0,0
Primodial Spring,Site,Elite,0,0,0
Roots of Yggdrasil,Site,Unique,2,2,25
Sinkhole,Site,Elite,2,1,12
Standing Stones,Site,Elite,0,0,0
The Geistwood,Site,Unique,3,3,38
Vaults of Zul,Site,Unique,0,0,0
Avatar of Air,Avatar,Ordinary,1,1,12
Avatar of Earth,Avatar,Ordinary,0,0,0
Avatar of Fire,Avatar,Ordinary,0,0,0
Avatar of Water,Avatar,Ordinary,0,0,0
Battlemage,Avatar,Elite,0,0,0
Deathspeaker,Avatar,Elite,4,4,50
Elementalist,Avatar,Elite,0,0,0
Enchantress,Avatar,Elite,0,0,0
Pathfinder,Avatar,Unique,2,2,25
Seer,Avatar,Elite,0,0,0
Sorcerer,Avatar,Ordinary,1,1,12
