Marine Voyage,0,0
Plague of Frogs,5,0
Pollimorph,6,0
Replication,0,0
Riptide,21,0
Shrink,2,0
Sleep,8,0
Stormy Seas,8,0
Twist of Fate,3,0
Upwelling,1,0
Wrath of the Sea,4,0
Abundance,7,0
Atlantean Fate,13,0
Blizzard,0,0
Flood,15,0
Mariners Curse,0,0
Silence,5,0
Wall of Ice,6,0
All-terrain Vestments,2,0
Amethyst Core,35,0
Angels Egg,0,0
Aquamarine Core,15,0
Battering Ram,0,0
Belfry,2,0
Black Obelisk,0,0
Blasted Oak,0,0
Buried Treasure,1,0
Chains of Prometheus,6,0
Crave Golem,0,0
Crown of the Victor,9,0
Devils Egg,0,0
Doomsday Device,0,0
Drums of Doom,5,0
Erik's Curiosa,0,0
Flaming Sword,18,0
Gilded Aegis,3,0
Iron Shackles,1,0
Kythera Mechanism,3,0
Land Deed,5,0
Lucky Charm,3,0
Maddening Bells,0,0
Magellan Globe,5,0
Magnetic Muzzle,0,0
Mask of Mayhem,0,0
Mix Aer,14,0
Mix Aqua,8,0
Mix Ignis,6,0
Mix Terra,13,0
Onyx Core,30,0
Orb of Baal Berith,0,0
Payload Trebuchet,0,0
Pendulum of Peril,1,0
Philosophers Stone,0,0
Pnakotic Manuscripts,0,0
Poisonous Dagger,9,0
Purge Juggernaut,0,0
Rolling Boulder,11,0
Ruby Core,25,0
Scarecrow,1,0
Screaming Skull,14,0
Seven-League Boots,14,0
Siege Ballista,0,0
Spear of Destiny,1,0
Sunken Treasure,0,0
The Immortal Throne,0,0
Torshammar Trinket,11,0
Truesight Crossbow,13,0
Undertaker Engine,0,0
Wicker Manikin,0,0
Wings of Invention,2,0
Cloud City,15,0
Dark Tower,64,0
Gothic Tower,60,0
Lone Tower,65,0
Mountain Pass,24,0
Observatory,47,0
Updraft Ridge,16,0
Watchtower,22,0
Bedrock,24,0
Gnome Hollows,35,0
Holy Ground,20,0
Humble Village,39,0
Kingdom of Agartha,2,0
Pillar of Zeiros,37,0
Quagmire,10,0
Rift Valley,29,0
Rustic Village,46,0
Secret Tunnel,10,0
Simple Village,39,0
Vantage Hills,6,0
Arid Desert,28,0
Dwarven Forge,5,0
Mirage,10,0
Red Desert,30,0
Remote Desert,31,0
River of Flame,23,0
Shifting Sands,13,0
Smokestacks of Gnaak,12,0
Vesuvius,17,0
Autumn River,14,0
Floodplain,33,0
Iceburg,0,0
Island Leviathan,6,0
Maelstrom,6,0
Spring River,17,0
Summer River,8,0
Tadpole Pool,6,0
Undertow,18,0
Aqueduct,11,0
Lighthouse,31,0
Oasis,32,0
Pristine Paradise,4,0
Ruins,61,0
Steppe,52,0
The Colour Out of Space,16,0
Windmill,62,0
Astral Alcazar,1,0
Battlefield,3,0
Boneyard,8,0
Bottomless Pit,13,0
Cornerstone,3,0
Crossroads,22,0
Dome of Osiros,1,0
Donnybrook Inn,1,0
Edge of the World,2,0
Free City,38,0
Great Wall,3,0
Imperial Road,12,0
Mirror Realm,20,0
Mudflow,4,0
Planar Gate,1,0
Primodial Spring,0,0
Roots of Yggdrasil,4,0
Sinkhole,19,0
Standing Stones,2,0
The Geistwood,8,0
Vaults of Zul,0,0
Avatar of Air,3,0
Avatar of Earth,5,0
Avatar of Fire,0,0
Avatar of Water,0,0
Battlemage,8,0
Deathspeaker,12,0
Elementalist,2,0
Enchantress,5,0
Pathfinder,8,0
Seer,1,0
Sorcerer,13,0
